"","FECHA","HORA","CO","NO","NO2","NOX","O3","PM25"
"512","22/01/2022",8,1,39,28,67,2,15
"561","24/01/2022",9,0.28,2,9,11,23,12
"1239","21/02/2022",15,0.18,1,13,13,89,24
"2117","30/03/2022",5,0.18,1,17,18,29,33
"6667","05/10/2022",19,0.47,1,22,23,37,14
"2993","05/05/2022",17,0.21,1,11,11,122,51
"1896","20/03/2022",24,0.45,5,24,29,25,22
"3288","17/05/2022",24,0.26,1,20,21,40,24
"1943","22/03/2022",23,0.38,3,21,24,17,28
"30","02/01/2022",6,1.59,65,34,99,1,45
"1736","14/03/2022",8,1.55,67,38,105,3,28
"5247","07/08/2022",15,0.18,1,9,10,81,17
"6470","27/09/2022",14,0.14,3,11,13,47,8
"4885","23/07/2022",13,0.07,1,6,8,61,14
"3199","14/05/2022",7,1.33,81,34,115,1,51
"7101","23/10/2022",21,0.19,2,13,15,37,24
"7339","02/11/2022",19,0.35,0,17,18,49,25
"1829","18/03/2022",5,0.58,5,18,22,11,15
"419","18/01/2022",11,0.97,22,44,66,23,39
"6712","07/10/2022",16,0.06,0,9,9,75,15
"7988","29/11/2022",20,0.49,1,16,17,36,27
"3564","29/05/2022",12,0.24,3,11,14,68,31
"7440","06/11/2022",24,0.38,6,35,41,10,8
"2161","01/04/2022",1,0.68,22,38,60,13,31
"6308","20/09/2022",20,0.31,1,14,15,36,13
"600","25/01/2022",24,0.22,1,15,16,11,13
"5830","31/08/2022",22,0.26,2,17,20,26,12
"5167","04/08/2022",7,1.16,46,28,75,4,25
"7817","22/11/2022",17,0.19,1,13,14,57,10
"2805","27/04/2022",21,0.38,2,21,23,36,13
"1545","06/03/2022",9,1.48,59,44,103,8,30
"1764","15/03/2022",12,0.44,4,27,31,71,43
"3590","30/05/2022",14,0.17,1,9,10,86,31
"1925","22/03/2022",5,0.3,4,18,23,14,15
"1331","25/02/2022",11,0.88,30,52,82,24,53
"7157","26/10/2022",5,0.35,6,22,28,9,25
"2114","30/03/2022",2,0.02,0,6,6,50,22
"126","06/01/2022",6,2.3,121,52,173,1,53
"5803","30/08/2022",19,0.24,1,9,10,34,8
"2028","26/03/2022",12,0.31,6,22,28,60,28
"211","09/01/2022",19,0.33,2,20,22,25,11
"1538","06/03/2022",2,0.82,5,34,39,8,21
"7624","14/11/2022",16,0.09,1,8,9,44,13
"7268","30/10/2022",20,0.46,1,17,17,44,34
"747","01/02/2022",3,0.2,2,16,17,13,8
"1409","28/02/2022",17,0.02,2,10,11,50,11
"6344","22/09/2022",8,0.35,7,18,25,15,9
"5527","19/08/2022",7,1.44,67,39,106,2,32
"7977","29/11/2022",9,2.77,146,50,196,4,60
"542","23/01/2022",14,0.32,2,14,15,51,27
"7199","27/10/2022",23,0.61,7,32,39,17,26
"7519","10/11/2022",7,1.28,104,22,125,3,34
"438","19/01/2022",6,0.97,23,35,58,2,36
"7178","27/10/2022",2,0.2,0,11,12,36,30
"5758","28/08/2022",22,0.42,4,16,20,28,12
"1879","20/03/2022",7,0.64,24,26,50,1,30
"1447","02/03/2022",7,1.2,78,38,116,4,47
"6553","01/10/2022",1,0.16,1,19,20,15,11
"7576","12/11/2022",16,0.36,0,17,18,122,43
"3284","17/05/2022",20,0.31,1,19,20,62,32
"1722","13/03/2022",18,0.21,0,7,7,70,23
"1225","21/02/2022",1,0.14,0,11,11,31,12
"7594","13/11/2022",10,0.87,22,33,55,24,43
"6626","04/10/2022",2,0.06,0,13,13,24,13
"6544","30/09/2022",16,0.18,1,10,11,81,23
"5724","27/08/2022",12,0.48,4,25,29,85,36
"6600","02/10/2022",24,0.12,0,14,14,26,9
"1992","24/03/2022",24,0.24,2,25,27,19,14
"7416","05/11/2022",24,1.69,21,57,78,6,50
"6580","02/10/2022",4,0.2,1,20,21,15,19
"1449","02/03/2022",9,1.55,88,48,136,7,43
"4937","25/07/2022",17,0.28,2,10,12,54,13
"7293","31/10/2022",21,0.34,1,19,20,30,18
"955","09/02/2022",19,0.5,4,14,18,34,14
"7808","22/11/2022",8,0.88,25,27,52,2,34
"1603","08/03/2022",19,0.31,3,11,14,39,16
"1611","09/03/2022",3,0.02,0,4,4,28,6
"3177","13/05/2022",9,0.56,9,24,33,33,36
"2956","04/05/2022",4,0.06,1,10,11,54,25
"6907","15/10/2022",19,0.35,0,17,18,73,27
"7574","12/11/2022",14,0.24,0,13,13,107,49
"5656","24/08/2022",16,0.17,1,9,10,80,23
"5045","30/07/2022",5,0.18,4,27,31,5,13
"547","23/01/2022",19,0.29,0,9,10,32,12
"203","09/01/2022",11,0.78,12,34,46,29,35
"2976","04/05/2022",24,0.75,2,50,53,24,44
"5127","02/08/2022",15,0.14,1,9,10,88,26
"5215","06/08/2022",7,0.71,31,30,61,4,27
"7824","22/11/2022",24,0.55,19,30,49,2,13
"308","13/01/2022",20,0.69,9,45,54,7,24
"1805","17/03/2022",5,0.19,3,16,18,24,17
"872","06/02/2022",8,0.32,7,17,23,14,12
"110","05/01/2022",14,0.11,1,13,14,53,17
"655","28/01/2022",7,1.85,119,30,149,1,38
"7930","27/11/2022",10,1.25,46,51,97,17,40
"5834","01/09/2022",2,0.18,1,20,21,7,7
"7851","24/11/2022",3,0.4,6,31,37,3,29
"7752","19/11/2022",24,0.42,3,41,45,7,20
"957","09/02/2022",21,0.48,5,19,24,24,14
"183","08/01/2022",15,0.03,0,9,9,53,20
"766","01/02/2022",22,0.39,2,19,21,24,16
"2953","04/05/2022",1,0.09,1,12,12,60,41
"5648","24/08/2022",8,2.03,129,34,163,2,25
"2849","29/04/2022",17,0.27,1,14,14,124,32
"220","10/01/2022",4,0.15,1,15,15,23,18
"7641","15/11/2022",9,3.04,180,65,245,3,70
"910","07/02/2022",22,0.32,2,21,23,18,21
"795","03/02/2022",3,0.03,0,4,4,23,8
"5179","04/08/2022",19,0.32,2,21,23,34,7
"4907","24/07/2022",11,0.21,4,12,16,52,20
"1830","18/03/2022",6,0.71,32,23,55,5,26
"2044","27/03/2022",4,0.62,14,39,54,2,21
"6738","08/10/2022",18,0.09,3,12,15,26,3
"5035","29/07/2022",19,0.67,5,30,35,28,13
"1052","13/02/2022",20,0.51,4,27,31,12,16
"7822","22/11/2022",22,0.75,23,37,60,2,24
"1676","11/03/2022",20,0.38,1,16,17,37,19
"7861","24/11/2022",13,0.3,2,18,20,73,47
"3546","28/05/2022",18,0.15,1,9,10,52,19
"1231","21/02/2022",7,1.18,78,32,110,1,30
"3442","24/05/2022",10,0.76,8,31,39,53,35
"318","14/01/2022",6,1.13,60,28,87,1,41
"7920","26/11/2022",24,0.25,1,14,14,27,15
"6730","08/10/2022",10,0.19,5,14,19,22,7
"988","11/02/2022",4,0.05,0,6,7,21,3
"5250","07/08/2022",18,0.35,3,16,19,27,6
"5168","04/08/2022",8,0.95,40,26,66,11,18
"5065","31/07/2022",1,0.26,2,18,20,13,6
"5015","28/07/2022",23,0.35,1,21,22,30,9
"5031","29/07/2022",15,0.58,4,25,30,37,18
"1795","16/03/2022",19,0.31,1,15,16,56,15
"2788","27/04/2022",4,0.05,1,13,14,23,5
"2027","26/03/2022",11,0.35,7,23,30,49,27
"2260","05/04/2022",4,0.18,1,17,18,25,17
"422","18/01/2022",14,0.15,2,11,12,44,19
"3594","30/05/2022",18,0.23,1,8,9,63,25
"1851","19/03/2022",3,0.26,2,23,25,12,37
"412","18/01/2022",4,0.51,11,32,43,3,19
"3266","17/05/2022",2,0.21,1,17,18,28,24
"6463","27/09/2022",7,0.37,6,24,30,15,3
"7585","13/11/2022",1,0.79,16,39,55,1,31
"10","01/01/2022",10,1.49,12,40,53,24,160
"5144","03/08/2022",8,0.27,7,15,21,15,24
"3422","23/05/2022",14,0.22,1,11,13,108,47
"7781","21/11/2022",5,0.09,0,12,12,15,10
"396","17/01/2022",12,0.64,13,35,49,31,37
"7016","20/10/2022",8,1.14,56,29,86,7,10
"5153","03/08/2022",17,0.16,1,9,10,87,18
"5545","20/08/2022",1,0.06,1,6,6,29,9
"1747","14/03/2022",19,0.5,2,20,22,61,23
"6923","16/10/2022",11,0.23,5,16,21,51,30
"3314","19/05/2022",2,0.2,1,8,9,51,44
"6716","07/10/2022",20,0.46,8,25,34,11,12
"1883","20/03/2022",11,0.7,11,34,45,40,44
"2876","30/04/2022",20,0.36,2,17,19,59,25
"2125","30/03/2022",13,0.19,1,11,12,92,32
"12","01/01/2022",12,0.98,3,33,36,67,146
"3396","22/05/2022",12,0.38,1,15,16,114,50
"7712","18/11/2022",8,0.94,55,24,80,2,18
"1597","08/03/2022",13,0.15,3,6,9,39,13
"828","04/02/2022",12,0.13,2,6,8,31,6
"7975","29/11/2022",7,2.57,147,33,179,3,42
"2194","02/04/2022",10,0.99,22,56,78,33,79
"7087","23/10/2022",7,0.34,5,14,19,10,12
"2100","29/03/2022",12,0.31,2,19,21,81,36
"1257","22/02/2022",9,2.07,103,43,146,6,32
"1354","26/02/2022",10,0.67,25,31,56,16,34
"6526","29/09/2022",22,0.21,1,13,14,28,7
"7130","25/10/2022",2,0.34,0,23,23,26,48
"7635","15/11/2022",3,0.9,32,36,68,1,29
"3188","13/05/2022",20,0.21,1,14,15,37,15
"7605","13/11/2022",21,0.44,1,20,21,44,32
"415","18/01/2022",7,1.34,53,31,84,1,37
"7703","17/11/2022",23,0.43,7,26,33,8,11
"6379","23/09/2022",19,0.31,1,17,18,37,12
"6535","30/09/2022",7,0.36,3,23,26,11,8
"4908","24/07/2022",12,0.17,2,10,12,64,19
"3357","20/05/2022",21,0.37,1,15,16,80,43
"1394","28/02/2022",2,0.02,0,10,11,18,7
"1716","13/03/2022",12,0.39,3,17,19,67,29
"7728","18/11/2022",24,0.36,1,27,28,14,23
"3490","26/05/2022",10,0.66,13,36,49,40,55
"1386","27/02/2022",18,0.06,1,11,12,52,13
"5552","20/08/2022",8,0.1,2,5,7,28,2
"6848","13/10/2022",8,0.83,48,22,70,7,17
"7122","24/10/2022",18,0.19,0,10,10,60,32
"1518","05/03/2022",6,1.13,47,36,83,2,40
"1248","21/02/2022",24,0.07,0,10,10,39,11
"7073","22/10/2022",17,0.06,1,7,8,53,19
"1782","16/03/2022",6,0.97,44,28,72,2,28
"2795","27/04/2022",11,0.21,5,11,16,48,9
"298","13/01/2022",10,1.9,104,55,158,5,54
"6505","29/09/2022",1,0.04,0,5,5,44,1
"90","04/01/2022",18,0.24,0,20,20,56,28
"6729","08/10/2022",9,0.24,6,14,20,20,2
"703","30/01/2022",7,1.87,65,31,96,0,31
"503","21/01/2022",23,0.17,1,10,10,24,11
"7149","25/10/2022",21,0.33,0,22,22,41,29
"2057","27/03/2022",17,0.16,0,11,11,97,33
"4938","25/07/2022",18,0.28,1,14,15,55,20
"3527","27/05/2022",23,0.24,2,15,17,21,19
"7052","21/10/2022",20,1.11,7,40,47,19,31
"6395","24/09/2022",11,0.27,7,16,23,42,22
"5134","02/08/2022",22,0.72,4,49,53,7,17
"3467","25/05/2022",11,0.52,7,33,39,64,47
"6536","30/09/2022",8,0.34,4,20,24,18,7
"1191","19/02/2022",15,0.16,0,10,10,98,31
"1355","26/02/2022",11,0.78,16,40,56,32,45
"3379","21/05/2022",19,0.34,1,9,9,101,52
"7880","25/11/2022",8,2.8,191,36,227,4,57
"3192","13/05/2022",24,0.29,1,23,24,28,25
"6577","02/10/2022",1,0.21,1,19,20,19,12
"1932","22/03/2022",12,0.07,2,8,10,51,14
"973","10/02/2022",13,0.16,3,5,9,36,10
"461","20/01/2022",5,0.57,7,31,38,4,28
"6597","02/10/2022",21,0.3,2,22,24,20,12
"7532","10/11/2022",20,0.74,6,45,51,16,27
"1560","06/03/2022",24,0.29,1,17,18,37,17
"435","19/01/2022",3,0.49,2,29,31,12,30
"7796","21/11/2022",20,0.48,2,25,26,23,27
"1996","25/03/2022",4,0.03,1,14,15,26,11
"662","28/01/2022",14,0.18,2,10,12,60,23
"697","30/01/2022",1,1.08,18,43,61,0,22
"36","02/01/2022",12,0.39,7,23,31,34,33
"1536","05/03/2022",24,1.23,26,49,75,2,26
"5059","30/07/2022",19,0.21,1,12,13,38,7
"5726","27/08/2022",14,0.29,1,15,16,118,38
"187","08/01/2022",19,0.3,1,17,18,32,24
"5707","26/08/2022",19,0.39,3,24,27,24,6
"7957","28/11/2022",13,0.06,2,17,19,69,31
"1226","21/02/2022",2,0.04,0,7,7,32,11
"399","17/01/2022",15,0.24,1,13,14,52,26
"832","04/02/2022",16,0.2,3,7,10,39,9
"5548","20/08/2022",4,0.01,0,4,4,32,1
"6735","08/10/2022",15,0.09,3,9,12,38,8
"3398","22/05/2022",14,0.24,1,7,7,87,49
"5240","07/08/2022",8,0.39,11,20,30,11,16
"6614","03/10/2022",14,0.39,1,18,19,107,40
"7948","28/11/2022",4,0.67,16,32,48,2,19
"1753","15/03/2022",1,0.61,4,32,35,15,25
"7952","28/11/2022",8,2.34,108,31,138,2,33
"3486","26/05/2022",6,0.54,8,38,46,5,40
"7123","24/10/2022",19,0.3,0,15,15,52,36
"1720","13/03/2022",16,0.19,0,7,7,73,26
"6630","04/10/2022",6,0.51,18,31,49,3,21
"253","11/01/2022",13,0.49,19,24,43,13,21
"6332","21/09/2022",20,0.3,3,19,21,23,6
"7371","04/11/2022",3,0.72,16,34,50,6,32
"7025","20/10/2022",17,0.13,1,7,8,36,5
"409","18/01/2022",1,0.37,2,24,26,15,19
"3543","28/05/2022",15,0.1,2,6,8,56,11
